Strain,IFNB_Concentration,Replicate
Uninfected,24.6237501815909,1
Uninfected,9.01623564044568,1
Uninfected,2.23206474693282,1
WT,71.4855086656826,1
WT,48.8585340670877,1
WT,52.6231606900775,1
ΔsecA2_MOI1,32.7412263374126,1
ΔsecA2_MOI1,32.4275074521635,1
ΔsecA2_MOI1,39.2116783456763,1
ΔsecA2_MOI5,146.856470846791,1
ΔsecA2_MOI5,148.425065273037,1
ΔsecA2_MOI5,146.229033076293,1
ΔsecA2_MOI10,293.520049700768,1
ΔsecA2_MOI10,279.324270143244,1
ΔsecA2_MOI10,263.363821856194,1
ΔsecA2/secA2_MM,58.4661749278429,1
ΔsecA2/secA2_MM,46.8585761736244,1
ΔsecA2/secA2_MM,48.2703111572455,1
ΔsecA2/secA2_MT,40.5057687473291,1
ΔsecA2/secA2_MT,47.5252288047788,1
ΔsecA2/secA2_MT,51.2506405671125,1
ΔesxBA,18.2709427552956,1
ΔesxBA,13.2514405913092,1
ΔesxBA,12.3494987962179,1
WT-HK_MOI10,3.48694028792943,1
WT-HK_MOI10,1.09483378790465,1
WT-HK_MOI10,3.95751861580314,1
Uninfected,10.7721054490626,2
Uninfected,5.89073958836386,2
Uninfected,10.2297314645405,2
WT,43.4230193172919,2
WT,40.7653867931337,2
WT,37.9450420736189,2
ΔsecA2_MOI1,31.9246908454238,2
ΔsecA2_MOI1,27.0433249847251,2
ΔsecA2_MOI1,26.7179005940118,2
ΔsecA2_MOI5,99.8841511060407,2
ΔsecA2_MOI5,87.734973852746,2
ΔsecA2_MOI5,85.2942909223967,2
ΔsecA2_MOI10,172.236840641286,2
ΔsecA2_MOI10,166.867338194518,2
ΔsecA2_MOI10,159.708001598826,2
ΔsecA2/secA2_MM,30.1890940949531,2
ΔsecA2/secA2_MM,27.5314615707949,2
ΔsecA2/secA2_MM,31.6535038531627,2
ΔsecA2/secA2_MT,37.2399558937402,2
ΔsecA2/secA2_MT,32.4670648299459,2
ΔsecA2/secA2_MT,31.3280794624495,2
ΔesxBA,17.660255052493,2
ΔesxBA,12.8873639886987,2
ΔesxBA,11.3687168320369,2
WT-HK_MOI10,6.27040137752932,2
WT-HK_MOI10,3.01615747039683,2
WT-HK_MOI10,0,2
Uninfected,20.9775671475516,3
Uninfected,9.50728663864988,3
Uninfected,11.715181008908,3
WT,50.7572156049349,3
WT,41.2794251374856,3
WT,41.6025316306941,3
ΔsecA2_MOI1,69.6589454576321,3
ΔsecA2_MOI1,54.7960467700412,3
ΔsecA2_MOI1,52.965109975193,3
ΔsecA2_MOI5,250.113921914579,3
ΔsecA2_MOI5,232.881575610125,3
ΔsecA2_MOI5,227.496467389984,3
ΔsecA2_MOI10,416.567616999157,3
ΔsecA2_MOI10,394.434822214375,3
ΔsecA2_MOI10,373.217495827017,3
ΔsecA2/secA2_MM,56.3038770716808,3
ΔsecA2/secA2_MM,42.0871913705069,3
ΔsecA2/secA2_MM,42.7334043569239,3
ΔsecA2/secA2_MT,47.795406083857,3
ΔsecA2/secA2_MT,44.3489368229664,3
ΔsecA2/secA2_MT,38.2099134520049,3
ΔesxBA,26.3626753676932,3
ΔesxBA,23.0239082712054,3
ΔesxBA,21.9468866271771,3
WT-HK_MOI10,12.7922026529363,3
WT-HK_MOI10,4.49913599391815,3
WT-HK_MOI10,0.891113486423241,3
Uninfected,21.9046036230711,4
Uninfected,8.22785530918626,4
Uninfected,7.26620894336624,4
WT,74.6348793488691,4
WT,66.2471860469944,4
WT,67.6896555957245,4
ΔsecA2_MOI1,36.8101222932815,4
ΔsecA2_MOI1,31.8950408679791,4
ΔsecA2_MOI1,30.0251729344402,4
ΔsecA2_MOI5,158.404962771414,4
ΔsecA2_MOI5,160.541954695458,4
ΔsecA2_MOI5,146.330958400562,4
ΔsecA2_MOI10,259.270981586314,4
ΔsecA2_MOI10,260.766875933145,4
ΔsecA2_MOI10,247.784649994575,4
ΔsecA2/secA2_MM,71.1622674722968,4
ΔsecA2/secA2_MM,68.1704787786345,4
ΔsecA2/secA2_MM,63.4690965457366,4
ΔsecA2/secA2_MT,66.6745844318033,4
ΔsecA2/secA2_MT,61.8129278046021,4
ΔsecA2/secA2_MT,61.5992286121977,4
ΔesxBA,14.9059550718253,4
ΔesxBA,7.80045692437737,4
ΔesxBA,9.18950167500629,4
WT-HK_MOI10,2.29770271996278,4
WT-HK_MOI10,0,4
WT-HK_MOI10,0,4
Uninfected,25.9607506562702,5
Uninfected,5.73733612116603,5
Uninfected,0,5
WT,82.3342347994502,5
WT,67.8971230066846,5
WT,55.6370360080662,5
ΔsecA2_MOI1,105.708606273452,5
ΔsecA2_MOI1,97.4015379799953,5
ΔsecA2_MOI1,98.0890194939365,5
ΔsecA2_MOI5,499.119902626315,5
ΔsecA2_MOI5,502.671890448344,5
ΔsecA2_MOI5,465.948919578651,5
ΔsecA2_MOI10,1066.63589238479,5
ΔsecA2_MOI10,1036.27212551905,5
ΔsecA2_MOI10,978.810128978801,5
ΔsecA2/secA2_MM,65.2617772032433,5
ΔsecA2/secA2_MM,43.7779798925802,5
ΔsecA2/secA2_MM,35.8719424822561,5
ΔsecA2/secA2_MT,91.6725253638185,5
ΔsecA2/secA2_MT,39.0801895473152,5
ΔsecA2/secA2_MT,38.3354179072122,5
ΔesxBA,24.7003678807113,5
ΔesxBA,7.97165104147499,5
ΔesxBA,4.59153359793066,5
WT-HK_MOI10,13.4715031530047,5
WT-HK_MOI10,0,5
WT-HK_MOI10,0,5
