Strain,IFNB_per_10000bac,Replicate
Uninfected,0,1
WT,0.6632,1
ΔsecA2_MOI1,0.3068,1
ΔsecA2_MOI2.5,0.15755,1
ΔsecA2_MOI5,0.07295,1
ΔsecA2_MOI10,0.0497,1
ΔsecA2/secA2_MM,0,1
ΔsecA2/secA2_MT,0,1
ΔesxBA,0,1
WT-HK_MOI10,0,1
Uninfected,0,2
WT,1.00182188623348,2
ΔsecA2_MOI1,5.46304591413043,2
ΔsecA2_MOI2.5,3.78745037105263,2
ΔsecA2_MOI5,4.49688218084416,2
ΔsecA2_MOI10,2.98000646939046,2
ΔsecA2/secA2_MM,1.24560732258703,2
ΔsecA2/secA2_MT,1.34088218691589,2
ΔesxBA,0.517623268648649,2
WT-HK_MOI10,0,2
Uninfected,0,3
WT,1.28416780857005,3
ΔsecA2_MOI1,4.12465997291515,3
ΔsecA2_MOI2.5,2.78142301492425,3
ΔsecA2_MOI5,3.02871412264707,3
ΔsecA2_MOI10,3.08949719409869,3
ΔsecA2/secA2_MM,3.51657554535728,3
ΔsecA2/secA2_MT,3.04870381607143,3
ΔesxBA,1.01615470344656,3
WT-HK_MOI10,0,3
Uninfected,0,4
WT,2.98243061367293,4
ΔsecA2_MOI1,10.6031987624017,4
ΔsecA2_MOI5,7.46947812544187,4
ΔsecA2_MOI10,5.83226467995341,4
ΔsecA2/secA2_MM,6.01142678850291,4
ΔsecA2/secA2_MT,7.60955798875368,4
ΔesxBA,1.85090976297174,4
WT-HK_MOI10,0,4
Uninfected,0,5
WT,0.967658958901385,5
ΔsecA2_MOI1,1.099003685134,5
ΔsecA2_MOI5,1.07345059055202,5
ΔsecA2_MOI10,0.610139591986352,5
ΔsecA2/secA2_MM,3.28741998704357,5
ΔsecA2/secA2_MT,1.86247776744966,5
ΔesxBA,0.195514582752883,5
WT-HK_MOI10,0,5
Uninfected,0,6
WT,1.65127913464908,6
ΔsecA2_MOI1,8.19862660993463,6
ΔsecA2_MOI5,9.70252238640776,6
ΔsecA2_MOI10,9.14213867287582,6
ΔsecA2/secA2_MM,2.06184507096269,6
ΔsecA2/secA2_MT,2.27787244630406,6
ΔesxBA,0.907807315739921,6
WT-HK_MOI10,0,6
