Strain,0,24,48,72,96,120,144,168
WT,0.09,0.54,1.62,3.76,6.74,8.23,9.74,10.64
WT,0.07,0.5,1.54,3.68,6.79,8.53,10.1,10.93
WT,0.09,0.54,1.6,3.87,6.79,8.46,10.31,10.76
WT,0.09,0.52,1.54,3.72,6.29,8.54,9.69,10.24
WT,0.06,0.52,1.52,3.54,6.65,8.35,9.66,10.69
WT,0.08,0.52,1.53,3.72,6.74,8.45,9.8,10.82
WT,0.09,0.51,1.48,3.47,6.34,8.36,9.53,10.66
WT,0.1,0.59,1.56,3.44,6.35,8.29,9.34,11.19
WT,0.08,0.55,1.56,3.69,6.52,8.52,9.63,10.96
ΔsecA2(8),0.08,0.46,0.79,1.55,2.7,4.6,7.17,8.81
ΔsecA2(8),0.06,0.39,0.84,1.52,2.7,4.8,6.95,8.59
ΔsecA2(8),0.08,0.45,0.88,1.54,2.81,4.7,7.19,9.07
ΔsecA2(8),0.06,0.46,0.8,1.21,2,3.46,5.79,7.61
ΔsecA2(8),0.08,0.46,0.74,1.17,1.98,3.61,5.92,8.32
ΔsecA2(8),0.06,0.48,0.77,1.23,1.99,3.59,5.96,8.32
ΔsecA2(8),0.09,0.44,0.81,1.32,2.28,4.02,6.44,7.67
ΔsecA2(8),0.09,0.46,0.77,1.31,2.37,4.02,6.32,8.33
ΔsecA2(8),0.1,0.43,0.76,1.33,2.36,4.21,6.65,8.46
ΔsecA2/psecA2MM,0.08,0.55,1.48,3.53,6.94,9.03,10.16,11.21
ΔsecA2/psecA2MM,0.1,0.63,1.53,3.46,6.84,8.69,10.67,11.71
ΔsecA2/psecA2MM,0.07,0.57,1.49,3.48,6.83,8.94,10.57,11.77
ΔsecA2/psecA2MM,0.08,0.59,1.47,3.28,6.41,8.87,10.19,11.11
ΔsecA2/psecA2MM,0.1,0.62,1.45,3.4,6.4,8.92,9.9,11.26
ΔsecA2/psecA2MM,0.06,0.61,1.51,3.43,6.46,8.95,10.03,11.8
ΔsecA2/psecA2MM,0.07,0.66,1.54,3.33,6.41,8.7,10.2,11.04
ΔsecA2/psecA2MM,0.07,0.65,1.53,3.47,6.58,8.66,10.16,11.18
ΔsecA2/psecA2MM,0.06,0.61,1.52,3.51,6.39,8.83,10.28,11.87
ΔsecA2/psecA2MT,0.06,0.58,1.51,3.27,6.5,8.66,10.39,11.38
ΔsecA2/psecA2MT,0.06,0.59,1.49,3.31,6.51,8.8,10.66,11.68
ΔsecA2/psecA2MT,0.05,0.58,1.48,3.37,6.52,8.83,10.58,11.68
ΔsecA2/psecA2MT,0.08,0.57,1.38,3.23,6.4,8.49,10.12,10.89
ΔsecA2/psecA2MT,0.08,0.56,1.42,3.27,6.59,8.7,10.13,11.43
ΔsecA2/psecA2MT,0.08,0.59,1.45,3.22,6.35,8.8,10.13,11.54
ΔsecA2/psecA2MT,0.09,0.55,1.43,3.2,6.12,8.6,10.04,11.21
ΔsecA2/psecA2MT,0.04,0.59,1.42,3.26,6.28,8.55,9.93,11.12
ΔsecA2/psecA2MT,0.08,0.59,1.5,3.27,6.13,8.59,10.58,11.16
ΔesxBA,0.09,0.56,1.35,2.75,5.51,7.78,9,10.33
ΔesxBA,0.05,0.58,1.39,2.77,5.47,8,9.73,10.37
ΔesxBA,0.08,0.57,1.42,2.81,5.41,7.96,9.61,10.93
ΔesxBA,0.08,0.56,1.48,3.16,5.66,7.86,8.96,10.18
ΔesxBA,0.07,0.56,1.4,3.1,5.48,8,9.48,10.73
ΔesxBA,0.06,0.58,1.46,3.21,5.95,8.05,9.33,10.73
ΔesxBA,0.07,0.53,1.36,2.95,5.77,7.82,9.18,9.33
ΔesxBA,0.01,0.55,1.42,3.01,5.99,7.68,9.47,10.71
ΔesxBA,0.05,0.55,1.4,2.96,5.8,7.83,9.44,10.58
WT,0.09,0.61,1.73,4.02,6.29,8.08,10.03,10.82
WT,0.11,0.63,1.72,3.88,7.05,8.42,9.92,10.88
WT,0.06,0.65,1.78,3.94,6.79,8.55,10,11.32
WT,0.12,0.62,1.66,3.78,6.53,8.59,9.66,10.47
WT,0.09,0.61,1.72,3.86,6.63,8.34,9.78,10.55
WT,0.13,0.63,1.73,3.89,6.58,8.55,9.85,10.67
WT,0.1,0.61,1.64,3.61,6.18,8.16,9.52,10.38
WT,0.09,0.59,1.67,3.76,6.58,8.66,9.86,10.63
WT,0.13,0.63,1.69,3.69,6.43,8.43,9.92,10.19
ΔsecA2(8),0.1,0.36,0.56,0.81,1.41,2.56,4.5,6.63
ΔsecA2(8),0.08,0.34,0.6,0.83,1.48,2.52,4.57,6.59
ΔsecA2(8),0.13,0.33,0.59,0.78,1.5,2.61,4.67,6.66
ΔsecA2(8),0.09,0.32,0.53,0.73,1.28,2.42,4.21,6.16
ΔsecA2(8),0.08,0.3,0.6,0.79,1.31,2.34,4.26,6.05
ΔsecA2(8),0.12,0.35,0.57,0.79,1.39,2.42,4.21,6.16
ΔsecA2(8),0.08,0.3,0.59,0.81,1.27,2.35,3.96,6.2
ΔsecA2(8),0.12,0.32,0.57,0.81,1.29,2.26,4.01,6.55
ΔsecA2(8),0.08,0.32,0.61,0.84,1.33,2.36,4.15,6.39
ΔsecA2/psecA2MM,0.09,0.6,1.5,3.16,6.1,8.62,10.3,11.32
ΔsecA2/psecA2MM,0.13,0.66,1.47,3.1,5.89,8.83,9.98,11.34
ΔsecA2/psecA2MM,0.12,0.63,1.42,3.2,6.34,9.08,10.27,11.46
ΔsecA2/psecA2MM,0.12,0.61,1.5,3.12,6.24,8.03,9.89,11.21
ΔsecA2/psecA2MM,0.13,0.65,1.49,3.26,5.84,8.78,10.41,11.13
ΔsecA2/psecA2MM,0.12,0.67,1.46,3.33,6.15,8.59,10.08,11.59
ΔsecA2/psecA2MM,0.12,0.61,1.44,3.03,5.62,8.61,10.33,12.04
ΔsecA2/psecA2MM,0.13,0.61,1.53,2.86,6.07,8.69,10.21,11.66
ΔsecA2/psecA2MM,0.11,0.63,1.4,3.05,6.06,8.85,10.42,11.64
ΔsecA2/psecA2MT,0.1,0.58,1.36,3.12,5.74,8.57,9.72,11.34
ΔsecA2/psecA2MT,0.12,0.6,1.38,3.15,5.95,8.54,10.34,11.24
ΔsecA2/psecA2MT,0.12,0.59,1.38,3.14,6.12,8.61,10.17,11.32
ΔsecA2/psecA2MT,0.12,0.66,1.32,3.12,6.1,8.29,9.98,10.8
ΔsecA2/psecA2MT,0.13,0.6,1.48,3.08,6.19,8.69,10.01,10.95
ΔsecA2/psecA2MT,0.09,0.56,1.48,3.12,6.27,8.54,10.48,11.18
ΔsecA2/psecA2MT,0.13,0.56,1.47,2.86,5.55,8.32,9.84,10.61
ΔsecA2/psecA2MT,0.14,0.6,1.37,2.72,5.52,8.31,9.39,10.55
ΔsecA2/psecA2MT,0.12,0.58,1.4,3.15,6,8.63,10.23,11.63
ΔesxBA,0.12,0.6,1.48,3.12,5.44,7.9,9.45,10.41
ΔesxBA,0.13,0.61,1.54,3.06,5.9,8.09,9.41,10.56
ΔesxBA,0.14,0.63,1.55,3.13,5.96,8.16,9.55,10.88
ΔesxBA,0.12,0.59,1.55,3.12,5.83,8.08,9.39,10.39
ΔesxBA,0.12,0.62,1.54,3.18,5.94,8.22,9.41,10.32
ΔesxBA,0.14,0.6,1.62,3.28,6.05,8.05,9.59,10.81
ΔesxBA,0.11,0.58,1.48,2.9,5.29,7.76,9.28,10.57
ΔesxBA,0.13,0.61,1.59,2.93,5.34,7.92,9.49,10.5
ΔesxBA,0.11,0.61,1.58,2.74,5.66,8.08,9.42,10.71
WT,0.12,0.67,1.93,4.37,7.1,8.8,9.97,10.72
WT,0.11,0.7,1.93,4.38,7.21,8.9,9.88,11.14
WT,0.09,0.64,1.96,4.49,7.25,9,10.28,10.53
WT,0.14,0.64,1.86,4.31,7.12,8.69,9.89,10.69
WT,0.13,0.7,1.85,4.13,7.25,8.65,10.22,11.03
WT,0.13,0.69,1.99,4.28,7.15,8.66,10.15,11.04
WT,0.13,0.68,1.79,4.11,6.59,8.57,9.82,10.79
WT,0.13,0.69,1.95,3.95,6.9,8.67,9.97,10.7
WT,0.12,0.69,1.74,3.84,6.71,8.46,9.55,10.75
ΔsecA2(8),0.12,0.43,0.86,1.48,2.59,4.61,6.96,8.57
ΔsecA2(8),0.12,0.5,0.88,1.44,2.65,4.6,6.85,8.8
ΔsecA2(8),0.13,0.46,0.85,1.44,2.7,4.57,7,8.8
ΔsecA2(8),0.11,0.45,0.84,1.27,2.37,3.77,6.11,8.06
ΔsecA2(8),0.13,0.47,0.8,1.25,2.27,3.86,6.32,8.3
ΔsecA2(8),0.12,0.48,0.85,1.31,2.34,3.88,6.15,8.25
ΔsecA2(8),0.13,0.43,0.67,1.02,1.9,3.03,5.04,7.02
ΔsecA2(8),0.1,0.45,0.67,0.99,1.9,3.13,5.12,6.99
ΔsecA2(8),0.13,0.5,0.73,1.06,1.96,3.01,5.14,7.22
ΔsecA2/psecA2MM,0.12,0.64,1.69,3.57,6.78,8.97,10.26,11.21
ΔsecA2/psecA2MM,0.13,0.65,1.62,3.53,6.81,9.28,10.7,11.78
ΔsecA2/psecA2MM,0.11,0.67,1.67,3.55,6.87,8.93,10.58,11.55
ΔsecA2/psecA2MM,0.13,0.64,1.52,3.29,6.46,8.93,10.23,11.43
ΔsecA2/psecA2MM,0.12,0.62,1.59,3.37,6.55,8.94,10.88,11
ΔsecA2/psecA2MM,0.12,0.67,1.59,3.36,6.56,8.78,10.66,11.45
ΔsecA2/psecA2MM,0.13,0.6,1.6,3.17,6.19,8.75,10.26,11.54
ΔsecA2/psecA2MM,0.1,0.64,1.63,3.27,6.4,8.95,10.26,11.7
ΔsecA2/psecA2MM,0.14,0.61,1.67,3.19,6.55,8.79,10.3,11.3
ΔsecA2/psecA2MT,0.13,0.59,1.59,3.44,6.7,8.97,10.33,11.2
ΔsecA2/psecA2MT,0.13,0.63,1.63,3.44,6.79,9.15,10.41,11.58
ΔsecA2/psecA2MT,0.14,0.65,1.55,3.47,6.74,8.86,10.43,11.74
ΔsecA2/psecA2MT,0.11,0.6,1.51,3.23,6.54,9.18,10.58,11.56
ΔsecA2/psecA2MT,0.14,0.61,1.51,3.26,6.69,8.96,10.68,11.61
ΔsecA2/psecA2MT,0.14,0.64,1.6,3.26,6.77,9.01,10.52,11.8
ΔsecA2/psecA2MT,0.14,0.6,1.53,3.3,6.46,8.71,10.06,11.34
ΔsecA2/psecA2MT,0.13,0.63,1.53,3.25,6.54,8.86,10.06,11.37
ΔsecA2/psecA2MT,0.12,0.65,1.57,3.43,6.61,8.88,10.38,11.48
ΔesxBA,0.12,0.59,1.59,3.29,6.14,8.29,9.34,10.79
ΔesxBA,0.13,0.64,1.67,3.28,6.24,8.53,9.88,10.63
ΔesxBA,0.14,0.64,1.63,3.28,6.29,8.46,9.69,10.88
ΔesxBA,0.11,0.63,1.7,3.42,6.46,8.4,9.61,10.46
ΔesxBA,0.13,0.65,1.72,3.44,6.62,8.72,9.76,10.88
ΔesxBA,0.14,0.62,1.68,3.48,6.59,8.87,9.75,11.19
ΔesxBA,0.13,0.64,1.63,3.12,6.25,8.3,9.73,10.94
ΔesxBA,0.14,0.65,1.64,3.22,6.25,8.53,9.84,10.74
ΔesxBA,0.14,0.62,1.61,3.28,6.29,8.48,10.17,11.11
