Strain,Time,Count
WT,2,14500
WT,2,11500
WT,2,10050
WT,2,14050
WT,2,10700
WT,2,9300
WT,2,13300
WT,2,15050
WT,2,14750
ΔsecA2,2,14500
ΔsecA2,2,2350
ΔsecA2,2,1150
ΔsecA2,2,1450
ΔsecA2,2,1900
ΔsecA2,2,1100
ΔsecA2,2,2150
ΔsecA2,2,1300
ΔsecA2,2,900
ΔsecA2/secA2_MM,2,8850
ΔsecA2/secA2_MM,2,5650
ΔsecA2/secA2_MM,2,4600
ΔsecA2/secA2_MM,2,16700
ΔsecA2/secA2_MM,2,10900
ΔsecA2/secA2_MM,2,10300
ΔsecA2/secA2_MM,2,7150
ΔsecA2/secA2_MM,2,8700
ΔsecA2/secA2_MM,2,4650
ΔsecA2/secA2_MT,2,9100
ΔsecA2/secA2_MT,2,6250
ΔsecA2/secA2_MT,2,6150
ΔsecA2/secA2_MT,2,5900
ΔsecA2/secA2_MT,2,5400
ΔsecA2/secA2_MT,2,4450
ΔsecA2/secA2_MT,2,9400
ΔsecA2/secA2_MT,2,8900
ΔsecA2/secA2_MT,2,7300
ΔesxBA,2,9100
ΔesxBA,2,8150
ΔesxBA,2,4850
ΔesxBA,2,6900
ΔesxBA,2,8200
ΔesxBA,2,7050
ΔesxBA,2,9200
ΔesxBA,2,9600
ΔesxBA,2,6100
WT,2,23100
WT,2,22300
WT,2,19550
WT,2,19150
WT,2,21700
WT,2,19150
WT,2,20300
WT,2,23250
WT,2,20200
ΔsecA2,2,23100
ΔsecA2,2,9900
ΔsecA2,2,9350
ΔsecA2,2,9900
ΔsecA2,2,8150
ΔsecA2,2,8300
ΔsecA2,2,8750
ΔsecA2,2,6850
ΔsecA2,2,8300
ΔsecA2/secA2_MM,2,22650
ΔsecA2/secA2_MM,2,21000
ΔsecA2/secA2_MM,2,17400
ΔsecA2/secA2_MM,2,25050
ΔsecA2/secA2_MM,2,28550
ΔsecA2/secA2_MM,2,20800
ΔsecA2/secA2_MM,2,19950
ΔsecA2/secA2_MM,2,16650
ΔsecA2/secA2_MM,2,14600
ΔsecA2/secA2_MT,2,10550
ΔsecA2/secA2_MT,2,22750
ΔsecA2/secA2_MT,2,20400
ΔsecA2/secA2_MT,2,26450
ΔsecA2/secA2_MT,2,21350
ΔsecA2/secA2_MT,2,22100
ΔsecA2/secA2_MT,2,22050
ΔsecA2/secA2_MT,2,20450
ΔsecA2/secA2_MT,2,16900
ΔesxBA,2,10550
ΔesxBA,2,10300
ΔesxBA,2,11900
ΔesxBA,2,12650
ΔesxBA,2,14000
ΔesxBA,2,15850
ΔesxBA,2,14200
ΔesxBA,2,9850
ΔesxBA,2,10250
WT,2,31200
WT,2,32850
WT,2,29500
WT,2,41450
WT,2,35400
WT,2,34450
WT,2,40100
WT,2,36750
WT,2,33200
ΔsecA2,2,31200
ΔsecA2,2,4250
ΔsecA2,2,6250
ΔsecA2,2,4250
ΔsecA2,2,3850
ΔsecA2,2,10300
ΔsecA2,2,8250
ΔsecA2,2,6250
ΔsecA2,2,9000
ΔsecA2/secA2_MM,2,10950
ΔsecA2/secA2_MM,2,4000
ΔsecA2/secA2_MM,2,6350
ΔsecA2/secA2_MM,2,4000
ΔsecA2/secA2_MM,2,7800
ΔsecA2/secA2_MM,2,8200
ΔsecA2/secA2_MM,2,8100
ΔsecA2/secA2_MM,2,6250
ΔsecA2/secA2_MM,2,7550
ΔsecA2/secA2_MT,2,7050
ΔsecA2/secA2_MT,2,10050
ΔsecA2/secA2_MT,2,6650
ΔsecA2/secA2_MT,2,16050
ΔsecA2/secA2_MT,2,11350
ΔsecA2/secA2_MT,2,9600
ΔsecA2/secA2_MT,2,11700
ΔsecA2/secA2_MT,2,12100
ΔsecA2/secA2_MT,2,6550
ΔesxBA,2,7050
ΔesxBA,2,9050
ΔesxBA,2,8950
ΔesxBA,2,16500
ΔesxBA,2,21650
ΔesxBA,2,12900
ΔesxBA,2,9250
ΔesxBA,2,11850
ΔesxBA,2,12600

